Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Matt Kuchar,-,17,MC,33,50,-,25,MC,-,-,3,-,-,-,-,-,-,-,-,-,-,29,-,38,7300,Further details,90/1,Bet 365,Further details
Matt Wallace,43,-,27,-,-,15,MC,-,MC,41,24,-,-,-,-,-,-,-,-,-,MC,-,MC,45,7300,Further details,80/1,Bet 365,Further details
Doug Ghim,35,50,WD,-,-,-,MC,34,MC,-,24,-,-,-,-,-,-,-,20,-,MC,MC,MC,51,7300,Further details,70/1,Bet 365,Further details
Benjamin Griffin,WD,MC,2,MC,-,67,31,5,39,MC,MC,-,-,-,-,-,-,-,-,-,-,-,4,MC,7300,Further details,66/1,Bet 365,Further details
Samuel Stevens,-,MC,14,-,2^,-,10,34,57,29,64,-,-,-,-,-,-,-,-,-,-,-,-,MC,7300,Further details,80/1,Bet 365,Further details
Victor Perez,MC,50,3,12,MC,44,-,-,10,MC,-,4,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,75/1,Bet 365,Further details
J.J Spaun,-,MC,MC,-,-,-,10,23,45,29,9,-,-,-,-,-,-,16,-,69,MC,MC,MC,38,7200,Further details,100/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,39,MC,2,MC,61,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,80/1,Bet 365,Further details
Patrick Fishburn,-,-,MC,-,17^,-,25,MC,15,3,6,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,110/1,Bet 365,Further details
Seamus Power,-,-,MC,27,MC,20,-,17,65,-,37,-,-,-,-,-,-,83,MC,60,27,60,-,-,7200,Further details,80/1,Bet 365,Further details
Adam Hadwin,60,-,MC,3,MC,27,-,-,34,MC,MC,-,-,-,-,51,33,-,-,MC,-,10,-,MC,7200,Further details,70/1,Bet 365,Further details
Webb Simpson,-,50,-,-,MC,48,MC,-,-,-,-,-,-,11,5,6,72,3,2,2,3,7,WD,5,7100,Further details,110/1,Bet 365,Further details
Andrew Novak,-,MC,14,-,-,-,20,7,70,-,24,-,-,-,-,-,-,-,-,-,-,-,MC,33,7100,Further details,90/1,Bet 365,Further details
Mac Meissner,-,5,57,-,MC,-,MC,20,16,4,59,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,90/1,Bet 365,Further details
Alex Smalley,MC,WD,-,-,-,-,MC,MC,37,33,12,-,-,-,-,-,-,-,-,-,-,29,13,MC,7100,Further details,90/1,Bet 365,Further details
Austin Eckroat,18,MC,-,39,74,27,-,-,MC,66,MC,-,-,-,-,-,-,-,-,-,-,37,-,MC,7100,Further details,90/1,Bet 365,Further details
Harry Hall,-,MC,42,-,-,-,31,12,1,-,24,-,-,-,-,-,-,-,-,-,-,-,-,MC,7100,Further details,100/1,Bet 365,Further details
Mark Hubbard,26,65,42,-,50,-,52,32,MC,17,-,-,-,-,-,MC,MC,24,-,-,15,51,61,MC,7100,Further details,90/1,Bet 365,Further details
C.T. Pan,MC,37,35,-,-,-,MC,2,-,MC,-,18,-,-,-,-,-,63,2,-,69,29,WD,64,7000,Further details,100/1,Bet 365,Further details
Matthias Schmid,-,MC,MC,-,-,15,52,32,MC,57,12,26,-,-,-,-,-,-,-,-,-,-,-,22,7000,Further details,110/1,Bet 365,Further details
Emiliano Grillo,MC,64,-,27,41,55,-,-,MC,43,24,43,-,-,-,-,-,MC,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Brendon Todd,78,50,-,MC,67,36,MC,12,46,31,-,-,-,26,-,MC,MC,-,-,-,MC,10,36,7,7000,Further details,100/1,Bet 365,Further details
Andrew Putnam,53,MC,-,45,-,44,-,MC,MC,21,19,-,-,-,-,MC,-,-,-,-,-,MC,27,27,7000,Further details,125/1,Bet 365,Further details
