Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Emiliano Grillo,5,23,-,MC,1,48,-,MC,15,-,MC,-,-,-,-,-,-,-,12,MC,MC,MC,12,MC,6600,300/1,Bet 365,Further details,6
Yannik Paul,38,23,-,69,-,66,3,-,-,8,49,25,-,-,-,-,-,-,-,-,-,-,-,-,6500,350/1,Bet 365,Further details,MC
Andrew Putnam,24,-,-,MC,29,5,-,43,45,-,-,42,-,-,-,-,-,-,-,-,-,32,-,-,6500,450/1,Bet 365,Further details,55
Michael Kim,30,7,MC,-,6,-,43,MC,38,-,MC,MC,-,-,-,-,-,-,-,-,35,-,-,-,6500,750/1,Bet 365,Further details,MC
JT Poston,-,MC,-,40,MC,38,-,MC,MC,-,6,6,-,-,-,-,-,-,-,-,-,-,-,MC,6500,225/1,Bet 365,Further details,41
Matthew Jordan,WD,MC,-,-,16,22,9,-,-,34,17,77,-,-,-,-,-,-,-,-,-,-,-,MC,6500,200/1,Bet 365,Further details,10
Thomas Detry,-,-,7,40,21,48,-,-,MC,MC,-,42,-,-,-,-,-,-,-,-,-,-,MC,34,6400,250/1,Bet 365,Further details,13
Lee Hodges,73,MC,-,55,29,12,25,-,MC,MC,-,12,-,-,-,-,-,-,-,-,-,-,-,-,6400,500/1,Bet 365,Further details,MC
Taylor Moore,-,27,-,72,MC,-,-,MC,MC,4,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6400,300/1,Bet 365,Further details,MC
Guido Migliozzi,14,57,-,-,MC,MC,-,-,10,28,58,54,-,-,-,-,-,-,-,-,-,-,MC,MC,6400,500/1,Bet 365,Further details,64
Tom Hoge,-,-,43,58,52,65,-,MC,60,MC,-,19,-,-,-,-,-,-,-,-,-,-,-,MC,6400,250/1,Bet 365,Further details,MC
Francesco Molinari,24,40,-,MC,-,MC,-,MC,MC,-,-,MC,-,MC,39,9,15,40,36,MC,1,11,MC,15,6300,400/1,Bet 365,Further details,MC
Adrian Otaegui,-,40,15,MC,2,-,-,-,-,-,60,MC,-,-,-,-,-,-,-,-,-,MC,-,-,6300,500/1,Bet 365,Further details,55
Takumi Kanaya,13^,-,-,-,3^,1^,2^,-,MC,9^,-,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,6300,500/1,Bet 365,Further details,MC
KyoungHoon Lee,-,8,50,29,57,MC,-,MC,MC,-,MC,72,-,-,-,-,-,-,-,-,-,-,-,MC,6300,400/1,Bet 365,Further details,MC
Pablo Larrazabal,1,-,-,65,1,-,-,MC,52,-,MC,MC,-,30,45,-,MC,MC,-,MC,-,-,-,MC,6300,450/1,Bet 365,Further details,MC
Thriston Lawrence,-,MC,-,62,-,MC,-,MC,1,39,-,MC,-,-,-,-,-,-,-,-,-,-,-,42,6200,450/1,Bet 365,Further details,74
Adri Arnaus,-,MC,-,MC,-,70,MC,-,-,72,-,68,-,-,-,-,-,-,-,-,-,MC,-,76,6200,1000/1,Bet 365,Further details,MC
Joost Luiten,3,67,-,-,21,22,44,-,2,8,-,54,-,63,45,-,MC,MC,MC,44,-,32,MC,-,6200,350/1,Bet 365,Further details,71
Scott Stallings,-,-,MC,MC,MC,MC,-,MC,MC,56,-,MC,-,-,-,MC,MC,-,-,-,-,-,-,-,6200,750/1,Bet 365,Further details,60
Henrik Stenson,31^^,-,-,-,4^^,-,-,-,-,31^^,6^^,-,-,68,-,2,39,40,1,11,35,20,MC,MC,6200,300/1,Bet 365,Further details,13
Laurie Canter,29^^,-,-,-,18^^,-,-,-,-,19^^,17^^,-,-,-,-,-,-,-,-,37,-,-,-,79,6100,500/1,Bet 365,Further details,17
Daniel Hillier,MC,MC,MC,-,5,MC,-,-,3,1,-,54,-,-,-,-,-,-,-,-,-,-,MC,-,6100,300/1,Bet 365,Further details,MC
Ewen Ferguson,-,MC,33,-,8,14,MC,-,MC,4,-,12,-,-,-,-,-,-,-,-,-,-,-,-,6100,200/1,Bet 365,Further details,MC
Stewart Cink,-,67,34,-,3^,60,-,MC,MC,-,-,7^,-,30,MC,26,47,20,-,MC,24,20,MC,MC,6100,750/1,Bet 365,Further details,23
Rikuya Hoshino,2^,-,67,62,55,33,-,-,3,49,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6100,600/1,Bet 365,Further details,60
Trey Mullinax,-,47,MC,MC,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,21,6000,1000/1,Bet 365,Further details,MC
Benjamin Griffin,-,MC,MC,MC,52,MC,-,-,MC,33,-,25,-,-,-,-,-,-,-,-,-,-,-,-,6000,750/1,Bet 365,Further details,MC
Matt Wallace,MC,MC,-,65,MC,48,-,-,MC,78,-,42,-,-,-,-,-,-,-,-,MC,51,40,-,6000,400/1,Bet 365,Further details,MC
Zach Johnson,-,MC,-,58,MC,MC,-,-,29,70,35,-,-,16,9,6,47,1,12,14,17,MC,-,MC,6000,750/1,Bet 365,Further details,55
Richard Bland,36^^,-,-,-,23^^,-,-,-,-,23^^,6^^,-,-,-,-,-,-,-,-,22,-,-,67,MC,6000,600/1,Bet 365,Further details,33
Richie Ramsay,67,53,7,-,39,-,5,-,-,49,3,42,-,-,MC,58,-,68,MC,22,-,-,-,-,5900,400/1,Bet 365,Further details,64
Bio Kim,21,6^,49^,3^,19^,18^,33^,-,MC^,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5900,1500/1,Bet 365,Further details,MC
Callum Shinkwin,-,9,MC,MC,MC,-,MC,-,MC,MC,-,MC,-,-,-,-,-,-,MC,MC,-,41,-,-,5900,600/1,Bet 365,Further details,MC
Connor Syme,-,MC,59,-,48,10,MC,-,14,68,-,74,-,-,-,-,-,-,-,MC,-,MC,-,-,5900,600/1,Bet 365,Further details,MC
Hiroshi Iwata,1^,-,-,-,MC^,2^,42^,WD^,26^,39^,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,5900,2500/1,Bet 365,Further details,MC
Taiga Semikawa,3^,-,-,2^,5^,15^,14^,31^,22^,30^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5900,1000/1,Bet 365,Further details,MC
Ockie Strydom,-,MC,-,MC,MC,MC,-,-,MC,74,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,5900,2500/1,Bet 365,Further details,MC
Keita Nakajima,21^,-,-,-,2^,2^,1^,2^,3^,18^,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,5900,500/1,Bet 365,Further details,MC
Marcel Siem,MC,26,59,-,60,2,-,-,73,23,10,42,-,-,MC,MC,-,MC,-,-,-,-,15,-,5800,500/1,Bet 365,Further details,41
Antoine Rozner,21,21,-,-,29,52,27,-,43,39,-,68,-,-,-,-,-,-,-,-,-,-,59,-,5800,500/1,Bet 365,Further details,20
Harrison Crowe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,2500/1,Bet 365,Further details,MC
Sami Valimaki,-,21,MC,-,MC,MC,-,-,18,34,-,76,-,-,-,-,-,-,-,-,-,-,-,-,5800,750/1,Bet 365,Further details,68
Seungsu Han,MC,MC^,3^,32^,58^,-,58^,12^,1^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,1000/1,Bet 365,Further details,MC
Travis Smyth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5800,1500/1,Bet 365,Further details,MC
Charl Schwartzel,34^^,-,-,-,29^^,-,-,-,-,38^^,31^^,-,-,16,MC,15,7,68,18,62,MC,-,-,-,5800,600/1,Bet 365,Further details,MC
Hurly Long,-,WD,MC,-,39,33,32,-,38,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,5800,1000/1,Bet 365,Further details,41
Oliver Wilson,21,MC,-,-,60,MC,MC,-,38,2,MC,MC,-,-,-,-,-,-,-,-,MC,MC,-,-,5800,1250/1,Bet 365,Further details,33
Kazuki Higa,MC,MC,-,76,-,MC,-,MC^,-,MC,62,-,-,-,-,-,-,-,-,-,-,-,-,MC,5800,1500/1,Bet 365,Further details,MC
Ernie Els,6^,10^,2^,-,37^,9^,10^,-,3^,12^,-,3^,-,MC,1,26,MC,65,MC,61,MC,32,MC,MC,5800,1000/1,Bet 365,Further details,MC
Nacho Elvira,MC,MC,MC,-,MC,MC,63,-,59,MC,2,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,750/1,Bet 365,Further details,MC
Kalle Samooja,MC,9,-,-,29,22,MC,-,-,MC,4,MC,-,-,-,-,-,-,-,-,-,-,-,-,5700,750/1,Bet 365,Further details,MC
Alejandro Canizares,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,-,-,-,-,-,-,-,-,5700,1000/1,Bet 365,Further details,MC
Alex Maguire,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,1000/1,Bet 365,Further details,MC
Dan Bradbury,-,32,10,-,29,WD,-,-,43,8,-,75,-,-,-,-,-,-,-,-,-,-,-,-,5700,750/1,Bet 365,Further details,MC
Haydn Barron,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,2500/1,Bet 365,Further details,MC
Jazz Janewattananond,61,57,MC,-,21,MC,27,-,MC,68,-,MC,-,-,-,-,-,-,-,-,MC,MC,46,-,5700,750/1,Bet 365,Further details,MC
Jorge Campillo,3,8,MC,-,29,52,MC,-,14,MC,-,42,-,-,-,-,-,-,-,-,MC,MC,MC,-,5700,500/1,Bet 365,Further details,MC
Jose Luis Ballester,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,2000/1,Bet 365,Further details,MC
Kyung-nam Kang,10,15^,7^,32^,-,3^,76^,-,2^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5700,1250/1,Bet 365,Further details,MC
Shubhankar Sharma,52,26,MC,-,16,-,58,-,MC,MC,-,MC,-,-,-,-,-,-,-,-,51,51,-,-,5700,1500/1,Bet 365,Further details,8
Marc Warren,-,MC,41,-,70,MC,26,-,MC,MC,4,-,-,-,-,MC,39,40,MC,-,-,-,-,-,5600,1000/1,Bet 365,Further details,MC
Matthew Southgate,MC,32,4,-,-,59,12,-,MC,MC,10,MC,-,-,-,-,MC,-,12,6,67,-,-,-,5600,500/1,Bet 365,Further details,23
