Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
MinWoo Lee,-,-,-,-,-,2,13,-,-,-,26,MC,-,-,-,-,-,-,-,-,-,-,-,7300,140/1,Bet 365,Further details,6
Andrew Putnam,-,-,-,-,4,36,-,MC,MC,MC,-,34,-,-,-,-,-,-,-,-,MC,MC,MC,7200,175/1,Bet 365,Further details,MC
KyoungHoon Lee,8^^,-,-,7,27,MC,-,-,42,MC,-,53,-,-,-,-,-,-,-,-,-,41,55,7200,200/1,Bet 365,Further details,MC
Matt Kuchar,3^^,-,-,-,7,-,-,MC,32,8,MC,-,-,1,48,17,MC,3,82,17,26,MC,MC,7200,175/1,Bet 365,Further details,MC
Sepp Straka,8^^,-,-,21,-,MC,MC,-,-,45,5,MC,-,-,-,-,-,-,-,-,-,MC,9,7200,160/1,Bet 365,Further details,65
Taylor Pendrith,-,-,-,-,-,MC,61,7,57,-,42,MC,-,-,-,-,-,-,-,-,-,-,13,7200,150/1,Bet 365,Further details,69
Aaron Wise,-,-,-,18,-,MC,-,-,MC,-,29,MC,-,-,-,-,-,-,-,-,MC,65,50,7200,125/1,Bet 365,Further details,MC
Benjamin Griffin,-,-,-,-,12,32,31,MC,-,-,21,14,-,-,-,-,-,-,-,-,-,-,-,7100,250/1,Bet 365,Further details,35
Thomas Detry,-,68,-,-,-,26,37,37,-,33,WD,24,-,-,-,-,-,-,-,-,-,-,-,7100,175/1,Bet 365,Further details,MC
Wyndham Clark,-,-,-,-,-,50,37,-,10,33,-,34,-,-,-,-,-,-,-,-,-,MC,MC,7100,125/1,Bet 365,Further details,27
Adam Hadwin,-,-,-,-,-,18,44,-,10,66,-,MC,-,-,-,-,MC,39,30,57,MC,29,9,7100,140/1,Bet 365,Further details,13
Lucas Herbert,-,-,-,-,-,-,3,3^,50,58,-,MC,-,-,-,-,-,-,-,-,-,-,68,7100,160/1,Bet 365,Further details,MC
Alex Smalley,-,-,-,-,MC,22,37,65,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,7100,400/1,Bet 365,Further details,65
Harris English,3^^,-,-,-,73,MC,MC,-,MC,12,MC,2,-,64,33,MC,MC,MC,MC,MC,MC,-,-,7000,80/1,Bet 365,Further details,MC
JT Poston,-,-,-,21,20,6,-,-,MC,MC,63,-,-,-,-,-,-,-,-,-,22,22,MC,7000,175/1,Bet 365,Further details,MC
Christiaan Bezuidenhout,26,-,-,-,MC,11,-,-,MC,58,42,MC,-,-,-,-,-,-,-,-,-,41,-,7000,200/1,Bet 365,Further details,13
Nick Taylor,-,-,-,-,7,MC,-,20,2,33,-,MC,-,-,-,-,73,MC,-,79,16,48,-,7000,225/1,Bet 365,Further details,MC
Cameron Davis,-,-,-,-,31,MC,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,MC,MC,7000,250/1,Bet 365,Further details,6
Gary Woodland,-,-,-,-,MC,-,63,-,42,9,-,MC,-,MC,-,11,MC,28,75,MC,30,MC,MC,7000,140/1,Bet 365,Further details,54
J.J Spaun,12^^,-,-,5,12,-,MC,-,MC,33,-,MC,-,-,-,-,-,-,-,MC,WD,-,MC,7000,250/1,Bet 365,Further details,MC
Kurt Kitayama,-,-,-,-,73,-,MC,29,23,MC,-,1,-,-,-,-,-,-,-,-,-,-,-,6900,80/1,Bet 365,Further details,MC
Brendon Todd,-,-,-,-,20,MC,-,2,MC,MC,-,39,-,-,-,-,51,MC,-,-,-,35,MC,6900,225/1,Bet 365,Further details,27
Taylor Moore,-,-,-,-,-,MC,11,15,14,MC,-,39,-,-,-,-,-,-,-,-,-,-,MC,6900,225/1,Bet 365,Further details,35
William Gordon,-,-,-,-,27,MC,MC,WD,-,-,42,70,-,-,-,-,-,-,-,-,-,-,-,6900,400/1,Bet 365,Further details,54
Matt Wallace,-,-,-,-,-,20,16,-,MC,MC,29,-,-,-,-,-,-,-,-,-,30,-,MC,6900,350/1,Bet 365,Further details,MC
Hayden Buckley,-,-,-,-,2,-,MC,-,29,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,66,6900,350/1,Bet 365,Further details,MC
Nick Hardy,-,-,-,-,41,-,44,41,-,MC,MC,MC,-,-,-,-,-,-,-,-,-,-,-,6900,350/1,Bet 365,Further details,MC
Webb Simpson,-,-,-,-,MC,-,-,MC,57,-,74,24,-,MC,15,MC,66,-,16,1,16,MC,MC,6800,140/1,Bet 365,Further details,MC
Emiliano Grillo,-,-,-,-,MC,MC,44,-,MC,67,-,39,-,-,-,-,-,MC,11,37,26,MC,MC,6800,225/1,Bet 365,Further details,MC
Jhonattan Vegas,-,-,-,-,-,MC,25,-,23,56,21,-,-,7,-,-,42,57,MC,41,3,61,MC,6800,175/1,Bet 365,Further details,MC
Kevin Kisner,4^^,-,-,-,-,-,-,34,MC,MC,-,MC,-,-,-,-,2,MC,56,MC,22,MC,4,6800,250/1,Bet 365,Further details,75
Joel Dahmen,-,-,-,-,-,-,-,41,50,MC,-,MC,-,-,-,-,-,-,-,-,12,MC,33,6800,250/1,Bet 365,Further details,60
Lee Hodges,-,-,-,-,-,MC,MC,-,MC,18,14,MC,-,-,-,-,-,-,-,-,-,-,70,6800,250/1,Bet 365,Further details,MC
Patrick Rodgers,-,-,-,-,-,MC,MC,-,14,MC,-,MC,-,-,-,-,-,MC,MC,MC,77,65,MC,6800,250/1,Bet 365,Further details,MC
Ryan Fox,-,-,-,-,-,65,20,11,17,-,-,14,-,-,-,-,-,-,-,-,-,-,-,6700,175/1,Bet 365,Further details,27
Seonghyeon Kim,-,-,-,-,12,MC,20,41,-,33,63,39,-,-,-,-,-,-,-,-,-,-,-,6700,300/1,Bet 365,Further details,MC
Ryan Palmer,2^^,-,-,-,31,-,63,MC,42,-,MC,53,-,MC,5,59,MC,23,MC,23,MC,17,MC,6700,350/1,Bet 365,Further details,MC
David Lipsky,-,-,-,-,4,MC,-,MC,MC,62,-,65,-,-,-,-,-,-,-,-,-,-,-,6700,400/1,Bet 365,Further details,MC
Scott Stallings,5^^,-,-,25,-,-,MC,15,23,MC,-,MC,-,MC,MC,65,75,-,-,MC,MC,MC,42,6700,225/1,Bet 365,Further details,69
Garrick Higgo,-,-,-,-,-,11,53,20,MC,-,29,MC,-,-,-,-,-,-,-,-,-,-,MC,6700,300/1,Bet 365,Further details,44
