Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,2024 Odds,Bookmaker,2024 Result
Thorbjorn Olesen,21,1,-,-,-,46,MC,-,-,MC,MC,14,-,6,44,-,-,-,-,21,-,-,-,-,6500,150/1,Bet 365,58
Bubba Watson,-,-,21^^,15^^,-,-,46^^,29^^,-,-,-,32^^,-,50,1,37,37,MC,5,12,57,26,39,MC,6400,200/1,Bet 365,MC
Emiliano Grillo,-,20,14,22,44,33,-,8,54,-,-,-,-,-,-,-,17,51,-,62,-,-,-,-,6400,225/1,Bet 365,MC
Gary Woodland,-,MC,-,MC,39,-,MC,-,72,MC,21,-,-,-,26,MC,-,MC,MC,32,MC,40,MC,14,6400,200/1,Bet 365,MC
Kurt Kitayama,-,-,39,8,39,-,-,MC,19,-,36,-,-,-,-,-,-,-,-,-,-,-,-,MC,6400,150/1,Bet 365,35
Taylor Moore,-,70,47,39,31,-,-,48,31,12,2,-,-,-,-,-,-,-,-,-,-,-,-,39,6400,250/1,Bet 365,20
Austin Eckroat,25,37,-,MC,-,38,1,36,45,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,6300,200/1,Bet 365,MC
Charl Schwartzel,-,-,38^^,53^^,-,MC^,2^^,41^^,-,-,-,37^^,-,25,MC,37,MC,3,MC,MC,25,26,10,50,6300,350/1,Bet 365,MC
Danny Willett,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,1,MC,MC,MC,25,MC,12,MC,6300,500/1,Bet 365,45
Lucas Glover,-,-,58,-,35,-,35,30,MC,11,-,25,-,49,42,-,-,-,-,-,MC,-,30,-,6300,250/1,Bet 365,20
Ryo Hisatsune,11,33,-,MC,-,48,MC,18,MC,33,-,78,-,-,-,-,-,-,-,-,-,-,-,-,6300,400/1,Bet 365,MC
Adam Schenk,MC,25,47,17,MC,-,56,MC,19,33,-,5,-,-,-,-,-,-,-,-,-,-,-,-,6200,250/1,Bet 365,12
Denny McCarthy,-,-,26,22,39,-,MC,48,35,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,6200,100/1,Bet 365,45
Grayson Murray,MC,-,66,MC,MC,-,-,25,42,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,600/1,Bet 365,51
Lee Hodges,MC,MC,58,MC,24,-,MC,12,35,26,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,6200,500/1,Bet 365,MC
Peter Malnati,MC,MC,14,MC,-,-,9,-,68,1,36,-,-,-,-,-,-,-,-,-,-,-,-,-,6200,400/1,Bet 365,MC
