Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023 DraftKings,2023 Odds,Bookmaker,New Account Offer,2023 Result
Carson Young,MC,MC,WD,-,-,29,3,-,MC,38,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6100,1000/1,Bet 365,Further details,19
Ernie Els,6^,-,-,-,10^,-,26^,-,1^,26^,-,-,-,MC,MC,64,MC,14,MC,-,MC,48,-,-,6100,1000/1,Bet 365,Further details,56
Jason Dufner,MC,MC,WD,32,-,74,44,-,36,58,60,-,-,24,35,-,37,54,11,MC,63,41,MC,-,6100,1000/1,Bet 365,Further details,MC
Ryan Moore,MC,-,7,MC,-,MC,-,-,MC,MC,MC,-,-,-,-,-,-,-,-,16,41,MC,52,-,6100,750/1,Bet 365,Further details,MC
Richy Werenski,MC,MC,20,MC,-,MC,21,-,27,MC,MC,-,-,-,-,-,-,-,-,MC,58,-,MC,MC,6100,1000/1,Bet 365,Further details,MC
Ryan Brehm,MC,MC,MC,MC,MC,14,MC,MC,65,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,6100,1000/1,Bet 365,Further details,MC
Robert Streb,MC,MC,-,MC,MC,MC,-,MC,MC,-,-,-,-,-,MC,-,44,MC,MC,MC,-,-,52,42,6000,1000/1,Bet 365,Further details,MC
Brian Gay,-,-,WD,MC,38^,MC,26^,-,15^,41^,-,-,-,MC,55,68,-,MC,6,70,54,MC,MC,51,6000,1000/1,Bet 365,Further details,MC
Andrew Landry,68,-,WD,MC,-,MC,40,-,45,-,MC,-,-,-,-,-,-,-,-,42,33,33,33,-,6000,1000/1,Bet 365,Further details,MC
Kelly Kraft,-,MC,MC,63,MC,55,-,MC,MC,16,MC,-,-,-,-,-,-,-,MC,MC,MC,-,-,-,6000,1000/1,Bet 365,Further details,MC
Max McGreevy,MC,-,MC,MC,MC,MC,33,MC,MC,50,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,6000,1000/1,Bet 365,Further details,63
Tommy Gibson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,6000,1000/1,Bet 365,Further details,MC
Davis Love III,-,-,-,-,-,-,-,-,67^,-,WD,-,-,-,-,MC,-,59,MC,74,-,MC,MC,MC,6000,2500/1,Bet 365,Further details,MC
Wesley Bryan,MC,-,MC,MC^,-,-,6,-,MC,MC,-,-,-,-,-,-,-,-,1,42,-,68,25,MC,6000,1000/1,Bet 365,Further details,MC
