Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Tom Hoge,14,-,-,18,MC^^,41,38,23,17,-,45,MC,-,-,-,64,MC,35,MC,80,37,66,MC,60,7000,Further details,80/1,Bet 365,Further details
Stephan Jaeger,1,-,MC,18,-,20,21,76,-,-,MC,21,-,-,-,-,-,-,-,30,-,-,MC,64,7000,Further details,90/1,Bet 365,Further details
Robert MacIntyre,MC,-,-,-,8^^,MC,13,8,MC,1,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details
Chris Kirk,-,-,16,10,-,-,43,MC,MC,-,MC,26,-,58,-,-,-,-,-,-,-,MC,-,-,6900,Further details,110/1,Bet 365,Further details
Justin Rose,-,-,MC,44,-,-,52,6,32,-,MC,MC,-,13,-,-,-,-,-,-,MC,36,-,-,6900,Further details,125/1,Bet 365,Further details
Mackenzie Hughes,14,-,-,39,-,41,6,MC,-,7,MC,MC,-,-,-,-,-,17,42,51,3,76,25,WD,6900,Further details,110/1,Bet 365,Further details
Austin Eckroat,-,33,MC,17,11^^,-,63,18,MC,-,39,74,-,-,-,-,-,-,-,-,-,47,-,24,6800,Further details,110/1,Bet 365,Further details
Matthieu Pavon,-,-,12,49,30,-,67,MC,-,-,MC,5,-,-,-,-,-,-,-,-,-,-,-,-,6800,Further details,110/1,Bet 365,Further details
Benjamin Griffin,36,39,-,14,MC^^,13,16,WD,MC,2,MC,-,-,-,-,-,-,-,-,-,-,-,-,MC,6800,Further details,110/1,Bet 365,Further details
Rickie Fowler,-,MC,30,18,-,-,43,63,37,-,MC,MC,-,13,-,-,-,-,-,-,-,MC,MC,13,6700,Further details,150/1,Bet 365,Further details
Adam Hadwin,-,-,53,42,10^^,-,52,60,-,MC,3,MC,-,-,-,MC,MC,57,42,MC,-,MC,-,-,6700,Further details,125/1,Bet 365,Further details
Lucas Glover,-,25,20,33,-,-,16,43,12,-,MC,MC,-,MC,-,MC,-,MC,-,MC,20,-,70,MC,6700,Further details,110/1,Bet 365,Further details
Nick Dunlap,11,-,MC,69,-,30,24,MC,-,-,12,MC,-,-,-,-,-,-,-,-,-,-,-,-,6600,Further details,125/1,Bet 365,Further details
Kurt Kitayama,36,-,35,33,23^^,-,34,26,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,MC,6600,Further details,125/1,Bet 365,Further details
Taylor Moore,2,-,20,58,MC^^,-,38,12,MC,-,MC,MC,-,-,-,-,-,-,-,-,-,-,56,MC,6600,Further details,150/1,Bet 365,Further details
Victor Perez,17,45,-,43,MC^^,-,46,MC,50,3,12,MC,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,150/1,Bet 365,Further details
Michael Thorbjornsen,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,MC,6500,Further details,100/1,Bet 365,Further details
Seamus Power,-,MC,-,12,-,MC,16,-,-,MC,27,MC,-,-,-,-,-,MC,36,66,-,19,25,MC,6500,Further details,200/1,Bet 365,Further details
Andrew Putnam,-,14,-,18,MC^^,-,29,53,MC,-,45,-,-,-,-,-,-,-,-,57,-,13,46,45,6400,Further details,200/1,Bet 365,Further details
Adam Svensson,57,51,-,44,-,-,47,43,24,51,27,56,-,-,-,-,-,-,-,MC,-,-,25,MC,6400,Further details,175/1,Bet 365,Further details
Lee Hodges,-,MC,MC,58,MC^^,-,24,12,12,-,45,-,-,-,-,-,-,-,-,-,-,-,25,MC,6400,Further details,175/1,Bet 365,Further details
Emiliano Grillo,-,-,MC,64,-,-,64,MC,64,-,27,41,-,-,-,-,-,43,19,60,60,MC,MC,15,6300,Further details,200/1,Bet 365,Further details
Eric Cole,-,MC,52,33,MC^^,-,68,MC,MC,MC,45,MC,-,-,-,-,-,-,-,-,-,-,-,24,6300,Further details,200/1,Bet 365,Further details
Cameron Davis,21,-,12,49,-,-,38,MC,56,-,50,MC,-,-,-,-,-,-,-,43,MC,-,56,33,6300,Further details,200/1,Bet 365,Further details
Davis Riley,14,MC,-,-,28^^,30,66,-,1,-,MC,-,-,-,-,-,-,-,-,-,-,-,64,45,6200,Further details,200/1,Bet 365,Further details
Webb Simpson,-,45,-,42,-,-,24,-,50,-,-,MC,-,5,-,-,34,8,MC,-,-,-,13,52,6200,Further details,200/1,Bet 365,Further details
Patrick Rodgers,74,WD,-,5,-,-,29,MC,45,-,MC,-,-,-,46,39,3,35,26,-,MC,76,-,MC,6200,Further details,200/1,Bet 365,Further details
Jake Knapp,MC,-,55,62,-,8,58,MC,-,-,MC,MC,-,-,-,-,-,-,-,-,-,-,-,-,6100,Further details,250/1,Bet 365,Further details
Nick Taylor,-,-,MC,49,10^^,-,43,MC,-,MC,27,MC,-,-,-,MC,64,MC,MC,71,-,MC,-,-,6100,Further details,175/1,Bet 365,Further details
Adam Schenk,-,5,12,49,-,13,64,MC,WD,-,MC,MC,-,-,-,-,-,-,MC,MC,MC,MC,MC,MC,6100,Further details,250/1,Bet 365,Further details
Christopher Gotterup,57,MC,-,MC,11^^,24,1,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,35,-,6000,Further details,300/1,Bet 365,Further details
Brendon Todd,-,5,-,58,-,-,60,78,50,-,MC,67,-,-,-,15,MC,-,-,-,11,30,MC,MC,6000,Further details,250/1,Bet 365,Further details
Peter Malnati,36,-,MC,49,19^^,-,66,MC,37,-,33,MC,-,-,125,-,MC,75,26,30,MC,54,64,MC,6000,Further details,500/1,Bet 365,Further details
