Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2016,2017,2018,2019,2020,2021,2021*,2022,2023,2024,2025,2025 Odds,Bookmaker,New Account Offer
Nick Dunlap,-,-,-,16,-,-,55,10,34,-,58,57,-,-,-,-,-,-,-,-,-,-,-,-,175/1,Bet 365,Further details
An Byeong-Hun,-,-,-,-,-,-,32,MC,-,-,22,73,-,-,49,-,-,68,75,-,-,62,-,-,66/1,Bet 365,Further details
Corey Conners,-,-,-,6,-,-,5,MC,-,-,65,74,-,-,-,29,-,-,37,MC,MC,-,-,-,66/1,Bet 365,Further details
Adam Scott,3,-,-,-,-,-,15,-,37,-,22,-,-,-,-,-,2,-,10,35,-,-,-,-,66/1,Bet 365,Further details
Cameron Davis,-,6,MC,-,-,-,13,MC,18,-,5,-,-,-,-,58,57,36,32,-,56,MC,-,-,100/1,Bet 365,Further details
Collin Morikawa,-,-,-,-,-,-,2,-,-,-,17,-,-,-,-,-,-,21,-,4,-,3,MC,-,14/1,Bet 365,Further details
Patrick Cantlay,-,-,-,11,-,-,15,-,5,-,33,-,-,-,-,51,MC,-,-,15,-,-,56,-,30/1,Bet 365,Further details
Rory McIlroy,1,-,-,-,-,-,-,-,4,-,1,-,-,-,-,-,5,3,16,7,-,-,-,-,15/2,Bet 365,Further details
Russell Henley,-,-,-,19,-,-,30,10,-,-,5,-,-,-,-,-,-,-,-,13,-,-,-,-,45/1,Bet 365,Further details
Tommy Fleetwood,16,-,-,-,-,-,-,-,21,-,22,-,-,-,-,-,-,-,-,50,-,-,-,-,35/1,Bet 365,Further details
Viktor Hovland,-,-,-,-,-,-,36,-,MC,-,22,-,-,-,-,-,MC,-,2,WD,-,-,-,-,50/1,Bet 365,Further details
Will Zalatoris,-,-,-,18,-,-,26,-,12,-,48,-,-,-,-,MC,-,-,7,MC,2,MC,13,-,40/1,Bet 365,Further details
Billy Horschel,47,-,-,-,-,-,51,MC,21,-,9,MC,-,8,64,54,8,68,MC,MC,11,-,MC,-,110/1,Bet 365,Further details
Danny List,-,MC,MC,-,-,MC,-,-,-,-,3^,MC,-,-,-,-,-,-,-,-,-,-,-,-,4000/1,Bet 365,Further details
Lucas Glover,42,30,-,-,-,-,-,21,MC,-,3,MC,-,MC,33,67,-,49,42,-,-,-,-,-,110/1,Bet 365,Further details
Matthew Fitzpatrick,-,-,-,-,-,-,24,-,-,-,48,MC,-,-,-,-,-,-,-,55,-,-,-,-,110/1,Bet 365,Further details
Nicolas Echavarria,29,2,-,-,-,-,32,2,MC,-,77,MC,-,-,-,-,-,-,-,-,-,MC,MC,-,250/1,Bet 365,Further details
Tom Hoge,-,-,-,-,-,-,8,45,29,-,17,MC,-,MC,-,12,MC,5,MC,46,MC,-,56,-,125/1,Bet 365,Further details
Rickie Fowler,-,-,-,-,-,-,-,-,21,-,53,WD,-,MC,MC,MC,66,MC,53,-,MC,11,-,-,150/1,Bet 365,Further details
Daniel Berger,62,2,-,-,-,-,-,MC,21,MC,-,2,-,MC,MC,-,MC,-,-,7,20,-,MC,MC,80/1,Bet 365,Further details
Michael Kim,12,11,-,-,-,-,-,MC,43,MC,-,2,-,31,54,23,MC,-,53,-,-,44,37,MC,125/1,Bet 365,Further details
Kevin Yu,MC,11,-,-,-,-,44,-,MC,MC,64,16,-,-,-,-,-,-,-,-,MC,44,6,MC,125/1,Bet 365,Further details
Siwoo Kim,-,WD,-,-,-,-,32,MC,51,MC,12,21,-,18,WD,35,29,-,MC,40,11,25,-,MC,75/1,Bet 365,Further details
Benjamin Griffin,8,15,-,-,-,-,-,45,7,MC,69,36,-,-,-,-,-,-,-,-,-,31,MC,MC,150/1,Bet 365,Further details
Matthieu Pavon,-,-,-,17,-,-,48,-,-,MC,73,63,-,-,-,-,-,-,-,-,-,-,1,MC,350/1,Bet 365,Further details
Aaron Rai,-,-,-,14,-,-,15,-,-,MC,40,-,-,-,-,-,-,-,-,-,6,52,33,MC,125/1,Bet 365,Further details
Justin Rose,34,18^,-,-,-,-,-,-,-,MC,3,-,,MC,4,8,1,MC,-,MC,6,18,56,MC,110/1,Bet 365,Further details
Shane Lowry,3,-,-,-,-,-,-,-,-,MC,2,-,-,13,33,MC,-,-,-,65,-,-,25,MC,35/1,Bet 365,Further details
Stephan Jaeger,-,-,-,-,-,-,36,3,-,MC,40,-,-,-,-,MC,66,-,-,-,MC,53,3,MC,125/1,Bet 365,Further details
Tony Finau,-,-,-,-,-,-,15,-,MC,MC,13,-,-,18,4,6,13,6,2,MC,MC,9,6,MC,40/1,Bet 365,Further details
Austin Eckroat,-,17,-,-,-,-,15,MC,-,MC,13,MC,-,-,-,-,-,-,-,-,MC,MC,37,MC,125/1,Bet 365,Further details
Max Homa,-,-,-,14,-,-,26,-,-,WD,53,MC,-,-,MC,-,-,9,18,MC,MC,1,13,WD,150/1,Bet 365,Further details
