Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Daniel Berger,-,MC,MC,MC,WD,MC,-,45,-,-,-,-,-,-,MC,17,-,-,-,23,-,-,-,-,7300,Further details,80/1,Bet 365,Further details
Gary Woodland,-,MC,-,67,50,37,-,28,-,-,-,-,-,MC,-,-,-,-,-,-,-,-,64,-,7300,Further details,80/1,Bet 365,Further details
Cameron Champ,-,MC,MC,MC,50,12,-,45,-,-,-,-,-,-,-,-,-,MC,25,1,-,MC,MC,MC,7300,Further details,80/1,Bet 365,Further details
Hayden Springer,-,10,7,37,MC,59,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,7300,Further details,90/1,Bet 365,Further details
Taylor Montgomery,-,44,-,74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,MC,7300,Further details,90/1,Bet 365,Further details
Adam Schenk,55,MC,MC,-,MC,59,-,MC,-,-,-,-,-,-,-,-,-,MC,14,MC,61,51,55,-,7200,Further details,90/1,Bet 365,Further details
Ben Kohles,-,20,52,46,-,24,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,7200,Further details,90/1,Bet 365,Further details
Chandler Phillips,-,67,44,MC,-,MC,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,90/1,Bet 365,Further details
Lee Hodges,31,MC,77,46,-,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,7200,Further details,100/1,Bet 365,Further details
Pierceson Coody,-,63,30,2,-,72,-,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7200,Further details,100/1,Bet 365,Further details
Webb Simpson,48,MC,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,MC,17,-,-,-,30,MC,MC,7200,Further details,100/1,Bet 365,Further details
Carson Young,-,MC,5,MC,MC,71,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,19,7100,Further details,125/1,Bet 365,Further details
Justin Suh,-,MC,73,MC,11,19,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,58,MC,30,7100,Further details,110/1,Bet 365,Further details
Benjamin James,-,44,-,-,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7100,Further details,100/1,Bet 365,Further details
Benjamin Silverman,-,17,18,31,40,53,-,MC,-,-,-,-,-,-,-,-,-,43,75,-,-,-,-,-,7100,Further details,100/1,Bet 365,Further details
Christopher Gotterup,61,67,MC,MC,-,59,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,7100,Further details,110/1,Bet 365,Further details
Michael Kim,-,52,MC,MC,24,MC,-,WD,-,-,-,-,-,-,-,61,3,MC,73,MC,MC,WD,MC,-,7100,Further details,90/1,Bet 365,Further details
Matthew NeSmith,-,MC,75,2,MC,9,-,MC,-,-,-,-,-,-,-,-,-,-,-,MC,MC,51,MC,MC,7100,Further details,110/1,Bet 365,Further details
Seonghyeon Kim,-,MC,34,55,17,MC,-,66,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,36,2,7000,Further details,150/1,Bet 365,Further details
Dylan Wu,-,10,MC,31,MC,53,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,47,MC,14,7000,Further details,125/1,Bet 365,Further details
Sam Ryder,-,MC,34,25,38,MC,-,MC,-,-,-,-,-,-,-,-,-,MC,4,MC,MC,58,MC,14,7000,Further details,125/1,Bet 365,Further details
Chad Ramey,-,MC,MC,45,13,24,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,19,7000,Further details,125/1,Bet 365,Further details
Nate Lashley,-,25,MC,-,38,MC,-,59,-,-,-,-,-,-,-,-,-,MC,17,MC,MC,16,55,30,7000,Further details,125/1,Bet 365,Further details
Zac Blair,-,MC,46,2,MC,MC,-,45,-,-,-,-,-,-,12,MC,62,30,-,4,MC,-,12,52,7000,Further details,100/1,Bet 365,Further details
Chesson Hadley,-,MC,32,MC,24,MC,-,MC,-,-,-,-,-,72,57,MC,-,3,MC,23,14,MC,MC,62,7000,Further details,125/1,Bet 365,Further details
Vincent Whaley,-,57,MC,MC,2,-,-,63,-,-,-,-,-,-,-,-,-,-,-,MC,23,MC,MC,25,6900,Further details,175/1,Bet 365,Further details
Patton Kizzire,-,20,MC,50,8,MC,-,MC,-,-,-,-,-,-,-,-,2,MC,-,MC,MC,28,MC,56,6900,Further details,175/1,Bet 365,Further details
Joseph Bramlett,-,MC,MC,MC,44,37,-,MC,-,-,-,-,-,-,-,-,35,-,-,-,MC,42,12,-,6900,Further details,125/1,Bet 365,Further details
Trace Crowe,-,MC,44,MC,MC,24,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details
Joel Dahmen,-,25,46,MC,MC,MC,-,64,-,-,-,-,-,-,-,-,-,MC,46,MC,52,-,MC,MC,6900,Further details,125/1,Bet 365,Further details
Lanto Griffin,-,MC,MC,10,40,44,-,-,-,-,-,-,-,-,-,-,-,MC,-,17,-,66,-,MC,6900,Further details,150/1,Bet 365,Further details
Nick Hardy,-,52,MC,59,MC,46,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-,36,67,MC,6900,Further details,150/1,Bet 365,Further details
Robby Shelton IV,-,57,34,MC,52,67,-,-,-,-,-,-,-,-,-,-,-,-,-,52,MC,-,21,19,6800,Further details,150/1,Bet 365,Further details
Ryan Moore,-,44,MC,21,MC,MC,-,45,-,-,-,-,-,-,-,10,-,17,2,MC,-,MC,MC,45,6800,Further details,125/1,Bet 365,Further details
David Skinns,-,17,MC,MC,-,24,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,69,-,-,6800,Further details,150/1,Bet 365,Further details
Trey Mullinax,-,-,-,-,-,-,-,17^,MC^,-,-,-,-,-,-,-,22,MC,MC,-,-,MC,MC,-,6800,Further details,125/1,Bet 365,Further details
Henrik Norlander,23,MC,61,25,11,12,-,MC,-,-,53,8,-,-,-,64,-,-,-,MC,MC,-,MC,MC,6800,Further details,125/1,Bet 365,Further details
Nicolas Echavarria,-,63,52,MC,-,-,35,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6800,Further details,175/1,Bet 365,Further details
Tyler Duncan,-,MC,MC,MC,MC,53,-,MC,-,-,-,-,-,-,-,-,-,5,69,56,MC,MC,MC,MC,6800,Further details,200/1,Bet 365,Further details
Troy Merritt,-,17,MC,59,MC,MC,-,MC,-,-,-,-,-,MC,MC,MC,15,69,4,MC,MC,16,59,7,6700,Further details,175/1,Bet 365,Further details
Martin Laird,-,MC,MC,-,21,MC,-,MC,-,-,-,-,-,-,3,64,8,17,46,MC,MC,-,MC,19,6700,Further details,225/1,Bet 365,Further details
Kelly Kraft,-,MC,MC,MC,MC,33,-,-,-,-,-,-,-,-,-,MC,MC,69,MC,-,MC,MC,MC,25,6700,Further details,200/1,Bet 365,Further details
Alejandro Tosti,-,WD,MC,MC,53,MC,18,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,150/1,Bet 365,Further details
Joe Highsmith,MC^,57,MC,MC,MC,44,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6700,Further details,200/1,Bet 365,Further details
Kevin Tway,-,MC,MC,45,MC,MC,-,52,-,-,-,-,-,40,-,-,62,52,1,MC,MC,30,MC,MC,6700,Further details,150/1,Bet 365,Further details
Stewart Cink,-,MC,52,62,MC,46,-,MC,-,1^,-,3^,-,77,-,-,MC,-,-,-,1,-,MC,MC,6700,Further details,175/1,Bet 365,Further details
Greyson Sigg,-,MC,MC,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,30,51,25,6600,Further details,200/1,Bet 365,Further details
Kevin Streelman,-,57,46,MC,-,64,-,MC,-,-,-,-,-,-,MC,41,MC,13,25,MC,3,-,59,56,6600,Further details,250/1,Bet 365,Further details
Chez Reavie,-,MC,MC,10,44,MC,-,MC,-,-,-,-,-,51,53,17,22,13,33,33,3,28,MC,66,6600,Further details,225/1,Bet 365,Further details
Bud Cauley,-,52,61,-,-,MC,-,MC,-,-,-,-,-,71,-,-,50,7,46,44,14,-,-,-,6600,Further details,175/1,Bet 365,Further details
Hayden Buckley,-,44,34,59,7,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,6600,Further details,175/1,Bet 365,Further details
Austin Smotherman,MC^,MC^,61,21,-,53,MC^,MC^,-,64^,-,-,-,-,-,-,-,-,-,-,-,66,25,MC,6600,Further details,275/1,Bet 365,Further details
Garrick Higgo,-,MC,MC,63,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,6600,Further details,250/1,Bet 365,Further details
Ryan Palmer,-,34^,75,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,MC,6600,Further details,250/1,Bet 365,Further details
James Hahn,-,-,52,64,-,MC,-,-,-,-,-,-,-,-,MC,41,MC,-,78,-,9,MC,51,45,6500,Further details,400/1,Bet 365,Further details
Brandon Wu,-,44,MC,10,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,-,6500,Further details,275/1,Bet 365,Further details
Ding Wenyi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,100/1,Bet 365,Further details
Kevin Dougherty,-,MC,46,MC,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,6500,Further details,275/1,Bet 365,Further details
Parker Coody,-,MC,MC,MC,MC,MC,-,WD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6500,Further details,275/1,Bet 365,Further details
Roger Sloan,-,31,61,53,MC,MC,-,12,-,-,-,-,-,-,-,-,-,-,60,13,MC,MC,-,-,6500,Further details,200/1,Bet 365,Further details
Aaron Baddeley,-,72,-,59,MC,53,-,WD,-,-,-,-,-,MC,31,55,67,MC,4,33,MC,36,36,MC,6500,Further details,400/1,Bet 365,Further details
Kevin Chappell,-,-,61,25,17,67,-,-,38,-,-,-,-,46,MC,MC,-,-,-,40,56,MC,MC,MC,6500,Further details,300/1,Bet 365,Further details
Callum Tarren,-,57,MC,21,MC,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,MC,7,6400,Further details,350/1,Bet 365,Further details
