am,country,dg_id,make_cut,player_name,sample_size,top_10,top_17,top_20,top_23,top_5,win,augusta_fit_score,SG-OTT,SG-APP,SG-ATG,SG-P,SG-TOT,sg_composite_fit_score,course_history_score,recent_form_score,bet365_odds,driving_dist,driving_acc,datagolf_rank,final_score,dg_implied_prob,bet365_implied_prob,your_implied_prob,your_fair_odds,value_delta,expected_value,roi_percent,win_live,live_betfair_odds,current_score,current_pos,round,thru,today,live_dg_implied_prob,live_your_implied_prob,live_your_fair_odds,live_value_delta,live_expected_value,live_roi_percent
0,ENG,18554,1.43,Aaron Rai,150,6.69,3.91,3.32,2.89,13.95,81.08,1.1984704970324112,0.125,0.455,0.03,-0.63,0.515,0.217,0.0,25.0,751.0,-7.323,0.108,26.0,4.450844099406483,0.0123334977799704,0.0013315579227696406,0.011153550351132,89.65755015384026,0.00982199242836236,73.76316313700133,737.6316313700132,0.0,1000.0,1,T30,3,18,1,0.0,0.0031100756195719206,321.5355902303246,0.0021100756195719206,21.100756195719207,211.00756195719205
0,USA,15575,1.69,Tom Hoge,150,14.74,7.42,5.98,4.98,35.7,237.15,0.3499893279032653,0.03,0.5599999999999999,0.03,0.1425,0.6375,0.32175,0.312,28.75,1501.0,-4.382,0.013,83.0,4.213297865580652,0.00421674045962471,0.0006662225183211193,0.007574871405032833,132.01544244508077,0.006908648886711714,103.69881978954282,1036.9881978954281,5e-05,1000.0,-2,T17,3,18,-2,5e-05,0.0029790876105914746,335.6732431918838,0.0019790876105914746,19.790876105914744,197.90876105914745
0,NOR,18841,1.49,Viktor Hovland,150,7.45,4.33,3.68,3.19,15.5,86.83,1.074192983374554,0.675,0.8125,0.0075,0.19,1.32,0.73,1.375,30.67,26.0,6.32,0.016,29.0,5.91698859667491,0.011516756881262236,0.038461538461538464,0.012875822750780117,77.66493989204785,-0.025585715710758346,-6.652286084797169,-66.5228608479717,0.0004308333333333,650.0,-3,T14,3,18,1,0.0004308333333333,0.004436143332470921,225.42103017284668,0.002897681794009382,18.834931661060985,188.34931661060986
0,USA,26096,1.45,Akshay Bhatia,150,7.11,4.09,3.47,3.02,14.85,84.75,0.7439140413932259,0.225,0.28,0.22,-0.09,0.485,0.2615,0.625,34.33,1501.0,-1.097,0.044,24.0,3.9873828082786456,0.011799410029498525,0.0006662225183211193,0.010292218036680355,97.16078657060197,0.009625995518359236,144.48619273057213,1444.8619273057213,0.0,1000.0,5,T52,3,18,3,0.0,0.0027862270124404728,358.90829983881827,0.0017862270124404727,17.862270124404727,178.62270124404728
0,USA,8825,1.66,Brian Harman,150,12.0,6.23,5.07,4.28,27.63,201.34,0.503437276578953,0.0733333333333333,0.0866666666666666,0.35,0.46,0.21,0.171,0.417,27.75,176.0,-7.104,0.055,53.0,3.9775874553157897,0.0049667229561935035,0.005681818181818182,0.007545453988974382,132.53013025607558,0.0018636358071562002,3.2799990205949126,32.79999020594913,0.0,1000.0,3,T42,3,18,5,0.0,0.00277938240324849,359.7921606005776,0.00177938240324849,17.793824032484903,177.938240324849
0,JPN,13562,1.37,Hideki Matsuyama,150,5.15,3.22,2.79,2.47,9.94,50.93,0.6714383106559239,0.2499999999999999,0.595,0.295,-0.1875,0.9625,0.4567499999999999,2.317,40.67,41.0,3.101,-0.011,14.0,3.9361876621311844,0.0196347928529354,0.024390243902439025,0.013354824838069873,74.87930482991842,-0.011035419064369152,-4.524521816391352,-45.24521816391352,0.0,1000.0,4,T48,3,18,7,0.0,0.002750453848447856,363.57636052112736,0.0017504538484478561,17.504538484478562,175.04538484478562
0,USA,28635,1.79,Matt McCarty,150,19.95,9.4,7.47,6.12,51.64,419.58,0.3865241702003181,,,,,,0.0,0.0,34.0,81.0,-4.893,0.05,112.0,3.250854834040063,0.00238333571666905,0.012345679012345678,0.005496474480440634,181.934802673701,-0.0068492045319050445,-5.547855670843087,-55.47855670843087,4.58333333333333e-05,1000.0,-2,T17,3,18,3,4.58333333333333e-05,0.00230365343021984,434.093074453725,0.0013036534302198399,13.036534302198397,130.36534302198396
0,USA,19483,1.7,Sam Burns,150,13.15,6.74,5.52,4.64,31.41,212.77,0.1883277579627347,0.17,0.1125,0.02,0.435,0.1525,0.16075,0.208,49.5,301.0,7.081,-0.021,35.0,2.735015551592547,0.004699910701696668,0.0033222591362126247,0.005702207880400487,175.3706671125021,0.002379948744187862,7.163645720005466,71.63645720005466,0.0,1000.0,2,T37,3,18,3,0.0,0.00191112179986091,523.2528874260025,0.0009111217998609099,9.1112179986091,91.112179986091
0,USA,23014,1.75,Sahith Theegala,150,14.09,7.24,5.87,4.93,33.65,233.46,0.2921095319571397,0.1925,0.1625,0.0,0.175,0.4125,0.2065,2.188,51.25,601.0,5.986,-0.027,80.0,2.634271906391428,0.004283389017390559,0.0016638935108153079,0.005394807775763362,185.36341637464562,0.003730914264948054,22.422794732337806,224.22794732337806,0.0,1000.0,1,T30,3,18,1,0.0,0.0018407260844035692,543.2638829171692,0.0008407260844035692,8.407260844035694,84.07260844035693
0,AUS,16841,1.45,Min Woo Lee,150,6.76,3.94,3.38,2.94,13.85,82.87,0.5604725703657487,0.36,0.125,0.0,-0.5800000000000001,0.25,0.1374999999999999,0.0,60.0,176.0,15.313,-0.054,23.0,2.428444514073149,0.012067093037287317,0.005681818181818182,0.008220641135258585,121.6450132716497,0.0025388229534404026,4.4683283980551085,44.68328398055109,0.0,1000.0,4,T48,3,18,5,0.0,0.0016969019601718292,589.3092373461219,0.0006969019601718292,6.969019601718291,69.6901960171829
0,USA,17538,2.09,Max Homa,150,31.38,14.26,11.05,8.81,92.12,923.08,-0.0500698281609864,0.2766666666666666,0.7166666666666667,0.1266666666666666,0.5466666666666667,1.54,0.6733333333333333,1.25,50.0,1001.0,1.81,-0.017,192.0,2.0811027010344696,0.0010833297222342592,0.000999000999000999,0.003341718086098707,299.24726569842136,0.002342717087097708,23.45059804184806,234.5059804184806,9.58333333333333e-05,1000.0,-3,T14,3,18,-3,9.58333333333333e-05,0.001521276431935835,657.3427281243639,0.000521276431935835,5.2127643193583495,52.127643193583495
0,KOR,14459,1.64,Byeong Hun An,150,10.8,5.78,4.81,4.12,24.62,163.93,0.8159458767548634,0.3766666666666666,0.2333333333333333,0.2166666666666666,-0.7600000000000001,0.2299999999999999,0.1746666666666666,0.0,60.0,1501.0,12.572,-0.039,50.0,2.0780725086843055,0.00610016470444702,0.0006662225183211193,0.005344217319400965,187.11813914634936,0.004677994801079846,70.21670196420848,702.1670196420848,4.79166666666667e-05,1000.0,-1,T21,3,18,-2,4.79166666666667e-05,0.0014856173854777453,673.1208249009685,0.00048561738547774525,4.8561738547774524,48.561738547774524
0,AUS,9771,1.53,Jason Day,150,8.21,4.61,3.88,3.35,17.7,114.29,0.4348601026435695,0.56,0.0,0.4833333333333334,0.5733333333333334,1.6,0.5936666666666667,1.75,17.5,36.0,2.102,-0.009,30.0,7.157155353862047,0.008749671887304225,0.027777777777777776,0.013502148715481646,74.06228601625413,-0.01427562906229613,-5.139226462426607,-51.39226462426607,0.0041608333333333,160.0,-5,T6,3,18,-1,0.0041608333333333,0.007913723313613287,126.36277013625019,0.001663723313613287,2.6619573017812606,26.619573017812602
0,IRL,13900,1.35,Shane Lowry,150,4.99,3.09,2.69,2.39,9.62,50.38,1.1958313803029386,0.33,0.19,0.1399999999999999,-0.1666666666666666,0.2366666666666666,0.2006666666666667,1.403,11.5,17.0,0.209,0.048,7.0,7.80329960939392,0.01984914648670107,0.058823529411764705,0.018844939177582606,53.06464460174915,-0.0399785902341821,-6.796360339810957,-67.96360339810957,0.0054416666666666,130.0,-5,T6,3,18,0,0.0054416666666666,0.009261806958117708,107.9702918147661,0.0015694992658100149,2.04034904555302,20.4034904555302
0,CAN,13126,1.66,Nick Taylor,150,12.88,6.65,5.44,4.56,30.61,235.29,0.6154719869898553,0.0833333333333333,0.1166666666666666,0.0699999999999999,-0.25,0.0433333333333333,0.0506666666666666,0.25,43.67,1001.0,-7.272,0.052,76.0,1.5372277307313038,0.004250074376301586,0.000999000999000999,0.0038483388713522653,259.852376162656,0.0028493378723512663,28.521872102236173,285.21872102236176,0.0,1000.0,2,T37,3,18,2,0.0,0.0010741545604158154,930.9647203963743,7.415456041581542e-05,0.741545604158155,7.4154560415815505
0,ENG,6093,1.7,Justin Rose,150,13.83,7.15,5.86,4.9,33.43,224.72,0.344272682482813,0.2766666666666666,0.6733333333333333,0.16,0.1833333333333333,1.5333333333333332,0.6259999999999999,2.026,35.0,10.0,-0.153,0.011,97.0,4.226654536496563,0.0044499822000712,0.1,0.007686834338736917,130.09256553905618,-0.09231316566126309,-9.231316566126308,-92.31316566126308,0.0037116666666666,190.0,-5,T6,3,18,3,0.0037116666666666,0.005551587396020838,180.12866026692853,0.00028842950128399585,0.5480160524395927,5.480160524395927
0,USA,14838,1.53,Patrick Reed,150,8.72,4.85,4.05,3.49,19.2,121.21,0.331153161597234,,,,,,0.0,2.466,11.0,81.0,-4.087,0.016,46.0,7.175480632319446,0.008250144377526606,0.012345679012345678,0.013327947685984137,75.0303065078515,0.000982268673638459,0.7956376256471511,7.956376256471512,0.0099,85.0,-6,T4,3,18,-3,0.0099,0.011943944967486748,83.724431309936,0.00017923908513380743,0.15235322236373605,1.5235322236373605
0,CAN,17576,1.33,Corey Conners,150,4.62,2.92,2.55,2.27,8.71,41.49,1.334613907054974,0.3699999999999999,0.8799999999999999,0.1833333333333333,-0.5133333333333333,0.9966666666666668,0.5413333333333332,1.554,8.75,13.0,0.685,0.07,13.0,8.409039448077662,0.024102193299590263,0.07692307692307693,0.02139269247551514,46.744934100489836,-0.05553038444756179,-7.218949978183032,-72.1894997818303,0.0544716666666667,21.0,-8,3,3,18,-2,0.0544716666666667,0.044006074244506206,22.72413563736242,-0.0036129733745414103,-0.7587244086536966,-7.587244086536966
0,ENG,12920,2.6,Danny Willett,150,58.49,24.66,18.53,14.59,178.22,1578.95,-0.4762993604928754,,,,,,0.0,1.562,48.0,5001.0,-5.105,-0.019,320.0,1.1704401279014247,0.000633332277779537,0.0001999600079984003,0.0018890483954803975,529.3670624810507,0.0016890883874819973,84.47131025797468,844.7131025797468,0.0,1000.0,3,T42,3,18,1,0.0,0.0008178577421842913,1222.7065275792986,-0.00018214225781570872,-1.8214225781570867,-18.214225781570867
0,USA,18417,1.13,Scottie Scheffler,150,2.01,1.57,1.47,1.39,2.95,8.79,1.960844484225639,0.4433333333333333,0.7333333333333334,0.38,-0.06,1.403333333333333,0.6656666666666666,6.55,11.0,4.75,5.853,0.072,1.0,9.74655223017846,0.11376564277588169,0.21052631578947367,0.05912727541113051,16.91266835900498,-0.15139904037834317,-7.1914544179713005,-71.914544179713,0.0137833333333333,46.0,-5,T6,3,18,0,0.0137833333333333,0.016458842483722223,60.757614090358956,-0.005280287951060385,-2.428932457487777,-24.28932457487777
0,NIR,10091,1.17,Rory McIlroy,150,2.48,1.81,1.67,1.56,3.92,13.64,1.6833225699955294,0.835,0.5700000000000001,0.3349999999999999,0.195,2.0700000000000003,0.8885000000000001,2.312,7.0,4.33,20.032,-0.012,2.0,11.814164513999106,0.07331378299120234,0.23094688221709006,0.04583606454358384,21.816881749285795,-0.18511081767350623,-8.01529840526282,-80.15298405262821,0.663750416666667,1.6,-12,1,3,18,-6,0.663750416666667,0.4728805673402183,2.1146988670408624,-0.15211943265978167,-2.4339109225565068,-24.339109225565068
0,USA,19895,1.39,Xander Schauffele,150,5.65,3.43,2.96,2.61,11.23,57.69,0.81079205226559,0.2633333333333333,0.2666666666666666,0.25,0.4966666666666666,1.2033333333333334,0.4743333333333334,2.571,41.33,56.0,8.715,-0.025,8.0,4.746675077119784,0.01733402669440111,0.017857142857142856,0.013567192129579204,73.70721888870426,-0.004289950727563652,-2.402372407435646,-24.02372407435646,0.00290375,140.0,-4,T10,3,18,-2,0.00290375,0.005349415725909379,186.9363031847752,-0.0017934414169477634,-2.510817983726869,-25.10817983726869
0,SWE,23950,1.33,Ludvig Aberg,150,4.54,2.88,2.54,2.28,8.5,41.35,1.4349135490223004,0.41,0.44,0.0,0.245,0.935,0.4665,5.0,40.67,31.0,13.379,0.013,18.0,6.0385827098044595,0.02418379685610641,0.03225806451612903,0.018112569153143653,55.21027920141512,-0.014145495362985379,-4.385103562525468,-43.85103562525468,0.0138166666666667,50.0,-6,T4,3,18,-3,0.0138166666666667,0.013891191872017233,71.98806331474157,-0.006108808127982767,-3.0544040639913836,-30.544040639913838
0,USA,19841,1.25,Bryson DeChambeau,150,3.29,2.27,2.05,1.87,5.61,22.11,1.7888324218897285,,,,,,0.0,0.969,11.67,4.75,24.24,-0.011,10.0,11.386966484377945,0.045228403437358664,0.21052631578947367,0.03400489420287105,29.40753157572152,-0.1765214215866026,-8.384767525363625,-83.84767525363624,0.223040833333333,3.9,-10,2,3,18,-3,0.223040833333333,0.16408534974729688,6.094389301300032,-0.09232490666295956,-3.600671359855421,-36.006713598554214
0,USA,6986,2.15,Zach Johnson,150,34.87,15.14,11.61,9.31,102.87,952.38,-0.1386453225204362,,,,,,0.0,0.956,40.0,5001.0,-15.11,0.072,138.0,0.8599709354959132,0.00105000105000105,0.0001999600079984003,0.0016218284689239711,616.5880172663799,0.0014218684609255709,71.10764173088779,711.0764173088779,0.0005583333333333,500.0,-4,T10,3,18,-6,0.0005583333333333,0.0009917473577950855,1008.3213150406191,-0.0010082526422049145,-5.041263211024573,-50.412632110245724
0,USA,21554,1.49,J.T. Poston,150,8.08,4.56,3.84,3.31,17.4,106.38,0.6707089278818369,0.0333333333333333,0.0066666666666666,0.02,0.1666666666666666,0.0033333333333333,0.0313333333333333,0.0,60.0,2501.0,-3.099,0.036,37.0,-0.3190415477569659,0.009400263207369806,0.00039984006397441024,0.0033142377948273006,301.7285004596685,0.0029143977308528904,72.88908724863079,728.8908724863079,0.0,1000.0,3,T42,3,18,1,0.0,-0.000222933744060311,-4485.637668784079,-0.001222933744060311,-12.22933744060311,-122.29337440603109
0,ESP,5689,1.32,Sergio Garcia,150,4.73,2.96,2.59,2.32,8.93,45.28,1.4464565291441516,,,,,,0.0,1.341,10.0,,3.358,0.075,19.0,8.50539130582883,0.022084805653710248,,0.020720391229788172,48.26163699855117,,,,0.0,,4,CUT,2,0,0,0.0,0.005943234484152037,168.2585472046501,,,
0,USA,14578,1.35,Russell Henley,150,5.12,3.14,2.72,2.41,9.94,51.55,0.924234707782378,0.1175,0.72,0.25,-0.0249999999999999,1.0225,0.47825,1.594,12.33,,-7.669,0.085,6.0,6.532496941556475,0.019398642095053348,,0.016888763108520513,59.21096729075987,,,,0.0,,3,CUT,2,0,0,0.0,0.004564653135249588,219.0746964490483,,,
0,SCO,23323,1.37,Robert MacIntyre,150,5.31,3.23,2.8,2.49,10.68,59.52,1.123600014653097,0.145,0.365,0.16,-0.17,0.295,0.2109999999999999,2.25,9.67,,4.222,0.026,17.0,8.791120002930619,0.016801075268817203,,0.019006211132070724,52.61437921799252,,,,0.0,,6,CUT,2,0,0,0.0,0.006142890512271922,162.78981336265983,,,
0,USA,16243,1.48,Brooks Koepka,150,7.25,4.19,3.56,3.1,14.72,78.74,0.5937609938038785,,,,,,0.0,1.903,18.33,,5.739,-0.017,40.0,7.513002198760775,0.012700025400050802,,0.015579593810353955,64.18652579603298,,,,0.0,,5,CUT,2,0,0,0.0,0.005249791825166817,190.48374360410455,,,
0,AUT,17511,1.46,Sepp Straka,150,6.94,4.04,3.42,2.98,14.06,79.16,1.1941379793890836,0.22,0.245,0.0825,0.265,0.2875,0.23175,1.25,14.5,,-2.757,0.074,16.0,6.895227595877817,0.012632642748863063,,0.01468928733290646,68.07682206337083,,,,0.0,,5,CUT,2,0,0,0.0,0.004818115116680617,207.55004307347022,,,
0,USA,17536,1.41,J.J. Spaun,150,6.86,3.95,3.34,2.91,14.46,84.63,1.0113912521842374,0.06,0.03,0.0,0.265,0.11,0.0755,0.0,60.0,2501.0,3.174,0.015,21.0,0.6957282504368475,0.011816140848398913,0.00039984006397441024,0.005698751670853923,175.47702685738474,0.005298911606879513,132.5257792880566,1325.257792880566,0.0,,4,T48,3,18,2,0.0,0.000486147665747179,2056.988175522887,,,
0,CAN,17780,1.44,Taylor Pendrith,150,6.98,4.07,3.46,3.02,14.76,86.08,1.218529245523456,0.3366666666666666,0.0633333333333333,0.28,-0.7766666666666667,0.3899999999999999,0.1483333333333333,0.0,35.75,,11.414,0.002,27.0,5.623272515771357,0.011617100371747213,,0.01250548554849686,79.96490788957799,,,,0.0,,8,CUT,2,0,0,0.0,0.003929322699898987,254.4967864374457,,,
