Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2019,2020,2021,2022,2023 DraftKings,New Account Offer,2023 Odds,Bookmaker,New Account Offer,2023 Result
Nate Lashley,-,31,-,39,27,23,-,MC,-,17,-,MC,-,1,MC,MC,57,7300,Further details,80/1,Bet 365,Further details,56
Alexander Noren,MC,-,-,MC,MC,-,MC,29,52,12,MC,-,-,-,MC,4,-,7300,Further details,80/1,Bet 365,Further details,9
Sam Stevens,-,MC,MC^^,-,47,34,72,29,41,-,43,MC,-,-,-,-,-,7300,Further details,100/1,Bet 365,Further details,74
Nick Hardy,-,MC,1^^,-,68,-,MC,48,MC,-,20,38,-,-,-,-,MC,7300,Further details,100/1,Bet 365,Further details,MC
Adam Schenk,-,31,-,-,MC,MC,MC,2,7,-,MC,MC,-,42,30,41,MC,7300,Further details,100/1,Bet 365,Further details,7
Lee Hodges,-,41,MC^^,73,MC,-,55,29,12,25,-,MC,-,-,-,-,44,7200,Further details,100/1,Bet 365,Further details,MC
Chez Reavie,-,11,-,49,MC,-,40,40,58,25,-,4,-,MC,-,MC,-,7200,Further details,80/1,Bet 365,Further details,29
Matthew NeSmith,-,59,4^^,-,35,30,23,48,MC,-,-,MC,-,-,-,58,-,7200,Further details,125/1,Bet 365,Further details,MC
Ryan Palmer,-,MC,MC^^,-,35,8,-,MC,-,-,-,33,-,-,-,-,MC,7200,Further details,90/1,Bet 365,Further details,33
C.T. Pan,-,MC,-,-,MC,4,-,-,-,3,-,MC,-,-,MC,-,MC,7200,Further details,110/1,Bet 365,Further details,NR
Garrick Higgo,-,48,-,MC,MC,30,-,MC,30,50,-,MC,-,-,-,41,MC,7200,Further details,140/1,Bet 365,Further details,33
Adam Svensson,MC,41,-,-,27,-,40,-,MC,MC,60,MC,-,MC,-,-,24,7100,Further details,100/1,Bet 365,Further details,40
Webb Simpson,-,MC,-,-,64,-,MC,-,-,-,-,52,-,-,8,MC,69,7100,Further details,110/1,Bet 365,Further details,MC
Harry Hall,-,-,MC^^,10,MC,83,-,3,-,34,-,56,-,-,-,-,-,7100,Further details,125/1,Bet 365,Further details,MC
Benjamin Griffin,-,31,MC^^,-,MC,MC,MC,52,MC,-,-,MC,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details,33
Seonghyeon Kim,-,-,13^^,24,MC,50,-,MC,41,25,-,MC,-,-,-,-,-,7100,Further details,110/1,Bet 365,Further details,74
William Gordon,-,-,MC^^,24,MC,70,-,52,MC,18,-,MC,-,-,MC,MC,-,7100,Further details,100/1,Bet 365,Further details,74
Luke List,-,MC,23^^,MC,MC,34,-,57,16,-,MC,33,-,MC,21,-,MC,7100,Further details,125/1,Bet 365,Further details,WD
Matt Wallace,-,MC,MC^^,MC,MC,-,65,MC,48,-,-,MC,-,-,12,-,10,7000,Further details,125/1,Bet 365,Further details,78
Cameron Champ,MC,MC,-,8,MC,50,-,63,-,MC,-,MC,-,46,12,MC,20,7000,Further details,125/1,Bet 365,Further details,MC
Hayden Buckley,-,5,26^^,-,43,-,26,MC,MC,-,MC,MC,-,-,-,-,24,7000,Further details,110/1,Bet 365,Further details,NR
Patton Kizzire,-,31,26^^,MC,MC,30,-,48,-,38,-,MC,-,MC,MC,25,74,7000,Further details,150/1,Bet 365,Further details,MC
Carson Young,-,19,MC^^,15,MC,14,-,21,-,43,MC,15,-,-,-,-,-,7000,Further details,150/1,Bet 365,Further details,52
Kevin Yu,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,7000,Further details,100/1,Bet 365,Further details,MC
Akshay Bhatia,-,MC,MC^^,4,43,-,-,56,MC,68,-,-,-,-,-,-,-,7000,Further details,125/1,Bet 365,Further details,MC
Dylan Wu,-,-,MC^^,15,21,MC,-,MC,-,25,32,MC,-,-,-,-,MC,7000,Further details,150/1,Bet 365,Further details,24
Scott Stallings,26,56,MC^^,-,-,MC,MC,MC,MC,-,MC,MC,-,64,39,25,10,6900,Further details,150/1,Bet 365,Further details,56
Callum Tarren,-,MC,MC^^,MC,64,-,29,MC,-,43,-,33,-,-,-,-,20,6900,Further details,175/1,Bet 365,Further details,29
Ben Martin,-,41,MC^^,46,MC,-,-,57,-,MC,-,63,-,-,MC,MC,24,6900,Further details,150/1,Bet 365,Further details,MC
Davis Thompson,-,63,MC^^,-,MC,70,MC,-,56,-,MC,MC,-,-,-,58,-,6900,Further details,150/1,Bet 365,Further details,24
Sam Bennett,16,-,-,-,-,-,-,-,63,20,43,MC,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details,29
Vincent Norrman,-,-,9^^,18,-,8,-,48,-,MC,MC,MC,-,-,-,-,-,6900,Further details,125/1,Bet 365,Further details,24
Andrew Novak,-,-,MC^^,49,-,67,-,40,-,9,-,MC,-,-,-,-,MC,6900,Further details,200/1,Bet 365,Further details,MC
Joel Dahmen,-,MC,11^^,-,MC,-,69,68,MC,-,MC,MC,-,-,-,21,MC,6900,Further details,200/1,Bet 365,Further details,MC
Charley Hoffman,-,-,19^^,55,-,MC,-,-,-,-,49,MC,-,MC,-,-,10,6800,Further details,175/1,Bet 365,Further details,64
David Lipsky,-,MC,13^^,60,MC,MC,-,16,12,MC,-,56,-,-,-,-,37,6800,Further details,200/1,Bet 365,Further details,MC
Doc Redman,-,MC,26^^,MC,MC,30,-,-,-,MC,-,MC,-,2,21,MC,57,6800,Further details,225/1,Bet 365,Further details,MC
Danny Willett,MC,56,-,-,MC,-,MC,MC,54,-,-,MC,-,-,4,67,67,6800,Further details,150/1,Bet 365,Further details,74
MJ Daffue,-,-,26^^,MC,47,MC,-,MC,MC,38,-,-,-,-,-,-,-,6800,Further details,175/1,Bet 365,Further details,24
Robby Shelton IV,-,-,MC^^,MC,MC,43,-,29,MC,MC,-,MC,-,-,MC,MC,-,6800,Further details,200/1,Bet 365,Further details,70
Chesson Hadley,-,MC,MC^^,-,MC,MC,-,-,-,43,-,24,-,MC,MC,52,MC,6800,Further details,200/1,Bet 365,Further details,33
Chad Ramey,-,MC,9^^,-,35,50,-,12,MC,MC,-,38,-,-,-,-,MC,6800,Further details,250/1,Bet 365,Further details,17
Sam Ryder,-,MC,26^^,-,MC,-,MC,MC,56,-,-,MC,-,MC,MC,MC,24,6700,Further details,150/1,Bet 365,Further details,40
Justin Lower,-,71,MC^^,-,MC,43,-,57,MC,25,-,MC,-,-,-,-,30,6700,Further details,250/1,Bet 365,Further details,8
Trey Mullinax,-,MC,MC^^,-,47,MC,MC,-,MC,-,-,MC,-,MC,-,-,37,6700,Further details,175/1,Bet 365,Further details,MC
Zac Blair,-,-,MC^^,-,47,-,-,MC,-,-,-,2,-,-,57,-,-,6700,Further details,200/1,Bet 365,Further details,MC
Ryan Gerard,-,-,MC^^,33,MC,MC,-,MC^,-,43,56,-,-,-,-,-,-,6700,Further details,200/1,Bet 365,Further details,56
Greyson Sigg,-,MC,MC^^,18,MC,MC,-,MC,-,38,-,19,-,-,-,-,MC,6700,Further details,250/1,Bet 365,Further details,56
