player_name,augusta_fit_score
Scottie Scheffler,1.960844484225639
Rory McIlroy,1.6833225699955294
Collin Morikawa,1.7678933551889524
Jon Rahm,1.731662374058996
Bryson DeChambeau,1.7888324218897285
Justin Thomas,1.0614447764040735
Joaquin Niemann,1.4992778090713026
Patrick Cantlay,1.0366858830031804
Russell Henley,0.924234707782378
Robert MacIntyre,1.1236000146530967
Corey Conners,1.334613907054974
Shane Lowry,1.1958313803029386
Tommy Fleetwood,1.1883349179062541
Ludvig Aberg,1.4349135490223004
Sergio Garcia,1.4464565291441516
Hideki Matsuyama,0.6714383106559239
Sepp Straka,1.1941379793890836
Aaron Rai,1.1984704970324112
Tyrrell Hatton,0.7864423028249896
J.J. Spaun,1.0113912521842374
Xander Schauffele,0.81079205226559
Min Woo Lee,0.5604725703657487
Davis Thompson,1.0436344849485992
Taylor Pendrith,1.218529245523456
Akshay Bhatia,0.7439140413932259
Will Zalatoris,0.9680180343025231
Keegan Bradley,1.1180700069975131
Daniel Berger,0.9597516482737374
Sungjae Im,0.6684278635256795
Viktor Hovland,1.074192983374554
Maverick McNealy,0.6554527049034894
Denny McCarthy,0.17788513412804222
Jason Day,0.4348601026435695
Ben Griffin,0.7102243921652776
J.T. Poston,0.6707089278818369
Wyndham Clark,0.5994068494383256
Michael Kim,0.5868945394295235
David Puig,0.8771728235216747
Lucas Glover,0.964988979971916
Bud Cauley,0.6066003052443986
Jacob Bridgeman,0.25990823051681
Tom McKibbin,1.0209791569653652
Carlos Ortiz,0.6565882285198447
Si Woo Kim,0.8858565623240164
Byeong Hun An,0.8159458767548634
Alex Noren,0.43128187932693873
Tom Kim,0.9724425894569622
Patrick Reed,0.33115316159723407
Dean Burmester,0.8709042204869962
Sebastian Munoz,0.9480653062472673
Laurie Canter,1.1569690489657403
Andrew Novak,0.5077442309481293
Jordan Spieth,0.8141910929779469
Keith Mitchell,0.9878418891255684
Brooks Koepka,0.5937609938038785
Tony Finau,0.7110456123059841
Alex Smalley,0.8140134155807038
Taylor Moore,0.6817242458872639
Rasmus Neergaard-Petersen,0.9034424973886216
Stephan Jaeger,0.3496508461992718
Kevin Yu,1.1392493677008002
Harry Hall,0.05982670294285933
Luke Clanton,1.107501375876833
Joe Highsmith,0.6688177052379358
Thomas Detry,0.41139942972929644
Lucas Herbert,0.33210521160178175
Thorbjorn Olesen,0.6139313257473324
Mackenzie Hughes,0.09804767250742379
Billy Horschel,0.3597482102596008
Harris English,0.4315984718058121
Doug Ghim,0.9610735744846265
Nick Taylor,0.6154719869898553
Lee Hodges,0.864670612610125
Cameron Tringale,0.4827219447142395
Sam Burns,0.18832775796273477
Sahith Theegala,0.29210953195713973
Brian Harman,0.503437276578953
Sam Stevens,0.6213830420718072
Adam Scott,0.46595535510033614
Ryan Gerard,0.4366260756262082
Keita Nakajima,0.5314314598189325
Rico Hoey,1.1477772525741112
Ryo Hisatsune,0.54383869484678
Cameron Smith,-0.46520808227036814
Abraham Ancer,0.8171195894493835
Austin Eckroat,0.8553079647783239
Max McGreevy,0.8856364110634027
Marc Leishman,0.15202274829244233
Seamus Power,0.5357857259395
Kurt Kitayama,0.7902046258507655
Paul Casey,0.7922216379261011
Christiaan Bezuidenhout,-0.1954343015556559
Jesper Svensson,0.5497956280567872
Matt Wallace,0.35308208261530566
Gary Woodland,0.9287410533006283
Patrick Rodgers,0.28018340010233
Matt Fitzpatrick,0.32114714652724413
Nicolai Hojgaard,0.5073157789353732
Louis Oosthuizen,0.42994776150320246
Tom Hoge,0.34998932790326537
Harold Varner III,0.734281161041086
Eric Cole,-0.06918142858220772
Chan Kim,0.4705254561908787
Max Greyserman,0.12805200959480162
Eugenio Chacarra,0.656694626203298
Joel Dahmen,0.8360456513884853
Jordan Smith,0.6512627102528186
Adrien Saddier,0.608928668581111
Rickie Fowler,0.4546300425233678
Matt McCarty,0.3865241702003181
Matthew Jordan,0.36338572235999544
Rasmus Hojgaard,0.4002742499537174
Patrick Fishburn,0.4025552882967448
Isaiah Salinda,0.7877310992955089
Victor Perez,0.4514803159892762
Cameron Young,0.3916481334479661
Niklas Norgaard,0.756691774467265
Justin Rose,0.344272682482813
Henrik Norlander,0.493373099554107
Peter Uihlein,-0.2529856169190733
Sam Ryder,0.15090622482080412
Chris Kirk,0.5204253509980419
Charl Schwartzel,-0.1704300613274226
Ryan Fox,0.13696049065710952
Greyson Sigg,0.45596199063118603
Anirban Lahiri,0.4362947208916216
Jake Knapp,0.21321187945618486
Joost Luiten,0.6676258192927678
Kevin Roy,0.615301271568837
Cam Davis,0.17550621153779886
Jacques Kruyswijk,0.018351526491982295
Alejandro Tosti,0.5315651700454112
Emiliano Grillo,0.5728165766581022
Matt Kuchar,-0.13467767738350006
Andrew Putnam,-0.1999320532230145
Haotong Li,0.4512952922282716
Chandler Phillips,0.2567868779301391
Nico Echavarria,0.03435360522691413
Hayden Springer,0.22468898106319576
Chris Gotterup,0.3600925859557914
Pierceson Coody,0.36886538346262987
Carson Young,0.6409377998630305
Brandon Stone,0.327454762921228
Mac Meissner,0.031485044521071
Sami Valimaki,0.18776361414716886
Justin Lower,0.03753523621249166
Joseph Bramlett,0.532239436775277
Beau Hossler,-0.35866856639696854
Grayson Murray,0.45761576490201183
Adam Hadwin,0.11931041684406257
Charley Hoffman,0.5196806187517503
Matti Schmid,0.4611407596753205
Vince Whaley,-0.2866267231511914
Dustin Johnson,0.5782312409283393
Adrian Meronk,0.10142708310445464
Francesco Laporta,0.45024124563220846
John Parry,0.15129458073240937
Adam Svensson,0.26326813659622855
